RestaurantId,Cuisine,Rating,NumberOfReviews
nKD9Mf13thEZYTNIY45qhA,french,4.0,108
AseGALfqpAmv7t_IEpzkIQ,korean,5.0,62
RuOFTFVTEuYSswAlzjxvwQ,chinese,3.5,14
WtaM26GHmDBiUpVB4lnl2w,indian,4.0,1
bgMbt6XbOaAu5VNXr5kCdQ,indian,4.0,188
fyC2cBsQ0FsMJmv0jSworg,italian,4.0,27
RaqtqQoaVbIRciHsolzT4A,chinese,4.0,10
JuHeNFYoeva_FDjmtj_vLw,italian,4.0,263
S4Euw4DYSqeU4KcteFXqHg,american,4.0,391
p-rLkKnNekR7nplgWnAUYQ,chinese,3.5,91
dpCSDy9uefOEcY44FHss2Q,korean,3.5,357
f5LgJ9TOZis-cQHAND97nA,korean,4.0,155
1j93J41t3Ni40IbrULfICw,japanese,4.5,70
LJaLQby_H8E9eHvcIW0xnw,american,4.0,212
fc8op9vARoRwfTSXzs4ShQ,american,4.0,522
8JDwcklaawqYprHg0c9aIA,american,4.5,88
7-n32xMWRYbJpy-pVm132Q,french,4.5,115
HnFHxQUSviXVa1FUGR-Hjw,french,4.0,133
q4zgRy2Z-j-KUtq5tT7JzA,japanese,3.5,108
d1pRHsBuYCZ4hdk0dyjE-g,chinese,4.0,39
OO1EUYT629SG6rxkHJnmYA,japanese,3.5,54
sjOp9UbbfKbohpEjQt2JRg,chinese,4.5,5
U2tjlMRITBSHHHTiv7L11A,japanese,4.0,143
e03tT0hH6qU-_dR8pwFa0Q,chinese,3.0,51
FXDMFBM-rV2s5MHzA33d2g,indian,4.0,156
c1kKAH9XMPNeaBhvnIP0FQ,american,4.0,289
uPW_isMEB92IDrX04pLK1g,indian,3.5,290
loLFoBWWXfpFu9fOdWebHQ,chinese,3.5,10
sLz0y7uD8_T8Ye32r7uyog,japanese,3.5,103
QzPaA7e4O7iabpwr99pmiQ,indian,2.0,4
JVNH3KfshX0ZcAe7_UJFAw,korean,3.5,36
DEHWHskp2gSAkfdylc4SNA,french,4.0,212
EM6z-NkZ-q2KPWNY7aKvNw,chinese,4.0,14
kYURnv37Z5P_sir_QJGHzg,japanese,3.5,637
1kdIzJU01DuTm7WhPSdiBQ,french,4.0,113
TyLhPh5dez8JLqXOgHXUaw,japanese,3.0,66
PMp7WlHIXQUnej-Ds1jRfw,american,4.0,828
01m-oqxaCifh0s0eU03bBg,chinese,3.0,55
6ujYWjs1FTksvuVxuzjUYA,french,3.5,899
AVuDEai-NoQnsnPgcFmI7w,japanese,3.5,52
r-EDS_eO70HUgDmOk5_8Qw,american,4.0,373
l7E6lpov_VPbhrxjWT-76Q,french,3.5,285
f3wkQwZewuC4Xg0C0mLYWA,american,3.5,29
jzEaiiRa3497HWdf4QKHIA,italian,2.5,64
XKDHsS8PevoEdFLNtt05FA,japanese,4.5,183
PwIMIWCzL7tlOVb-v0_RKw,chinese,4.0,16
LTfR_0NiS7OIRCfkaAJg9w,japanese,4.5,225
GpV5O0ag7BPW50tp66bz3A,korean,3.5,312
M2sBQQLHV7oFhyif0un7DA,chinese,4.5,11
TN1dGAwvNevkzXfL0sU41A,french,4.0,105
od-5v2v1HdGisEDAXotqeg,japanese,4.0,417
1tL5GVMiTK-KcR3oMizeoA,indian,3.5,9
nVW33wQBSr9-mMhDWciw2w,chinese,5.0,1
ohOXikd87wCxzJXKPx7nGg,american,4.0,97
ue0fYo62ucnaAL6spAqSiw,indian,2.5,3
NB5u0htOK_1_dTkYALpRxg,japanese,4.5,57
CZc8HqioU9WFJcml530kmQ,chinese,4.0,13
mZdxvKqo8-hP86lus1pVHQ,korean,5.0,12
tZ_16sRTaU5MCpdWskCeBA,french,4.0,44
iYFauSnqLxvr4HTY_cIElg,japanese,4.0,231
DRUvC_16De3L-uyPwJTZPA,korean,4.5,97
YxLazl79hS4O_ygHWqM3mg,american,4.5,10
WefqbhlzN9me67Uf1RVjxQ,korean,3.0,1
FyFeyjndrXHDnN-z9-qv_w,french,4.0,160
xhH_7pRMIpj8c9ZXfH5v4Q,french,3.5,121
yU-ZxFJIDSgEoNbpqyPdRw,korean,4.0,40
KIPrTLyJb0mHpsxuaCByZg,chinese,3.5,34
KaBw8UEm8uZTV6YLsshYrQ,korean,3.5,1274
agCuWjaUJ8xBO_PDDQRiGw,chinese,4.0,89
ak9vroilf-vpA_GSNWX2Jg,chinese,4.0,357
xn0g_LqMcVACrWuox5GF1g,american,4.0,235
BJi6fX-mObaJ3N75v6mwaQ,chinese,4.0,18
mYQMjrtHp8vsEKKNsRz1XA,italian,4.0,203
XJ68bnXVpW-pZTuiDrnCzQ,chinese,4.0,20
2DGTVgGGme6CoXFCgooqVw,indian,4.5,16
AWeQkgJ0uzNr5YxFr2Bx8g,italian,3.5,151
uboO7T3XSnl8iq0uQWhMXA,italian,3.5,105
wFjELmsEYh972BG79HwMqA,american,4.5,8
fjjzAn0j6zCs2SNViuNfwQ,indian,3.5,220
oJjMYhA6z1_BVaQpSdyl8g,chinese,4.0,125
4eAgPj7eKonKAtk64kgUfQ,japanese,4.5,43
8SM-aKKwlK8JNaJTr60c6Q,chinese,3.0,45
z6WBXksrh0FQXYCPr2nnFg,chinese,4.5,22
U2aUFZARLeSMf4RQIxjuTw,chinese,4.5,70
utbWLB3zYR1o__iDI9-Xgg,indian,2.5,18
ExOHOMrBuPSFmDaLDvtSJw,indian,3.5,9
xAEs5QnuL8uMNWjmUGpK7g,japanese,3.5,302
dsTAUtR3bRMFIKJpAJk1Jw,american,4.0,523
ifIfq2EwEohCgoKnG68_LA,italian,4.0,127
5K9dDoK_BLgAAAvedRxemQ,indian,5.0,7
xnw88LhmiI7_ktRTVYbESw,american,4.5,181
n7LwEbf0zsMapAcUtyyeVA,french,3.5,341
Okbtt-ISFB3kuoxkl2wVgg,french,4.5,73
yckkW5iFRiBOWsH3tZTr3Q,japanese,4.0,946
Wdt-exLSaHXQRH7V_7-VVg,american,4.0,135
5mJgmAgKpTbCDdpVs7OFxQ,american,4.5,160
m1sfDqgDiKKyUaXo9DWVeQ,indian,4.0,237
e1r5NNXmsCX7XGhJYzZtJA,chinese,3.5,16
itblJyiTY2h2ACidLk66oA,japanese,4.0,490
fNxI--522GxiStC-J3SnTw,indian,4.0,19
wvn-FO-tY9_iWmA_OgMvEA,italian,3.5,103
oe8GEFE4QLFAKt87y7zcgA,korean,4.0,472
iAlqJJHbbeY2Lb7tPt_CQA,chinese,3.5,149
nI1UYDCYUTt23TpGxqnLKg,korean,4.0,3380
Ae0pvFVwDRYMno-6O99_WA,french,4.0,81
bQPU31GkNo3TkPnq7iSngg,french,4.0,174
REIcoQFvGB7B6S0GmqHo1A,japanese,4.0,96
93C1xqdTGHyGtoZ9vwn3KA,american,3.5,52
NH7Ws65ZwlmOosiblfGTRw,indian,3.0,45
5rrGixafSO0bO42JEovuHQ,chinese,3.0,2
-bBJi79fbtWRzcs_rsU6ag,chinese,3.5,7
TsYrzVVtkKO4Asrk_L9stw,italian,3.5,391
qMr20iPFYIgk0NdjIzp-BQ,american,5.0,5
25npnVAlhRjguunYS8zy8w,italian,4.0,155
U60GbyJIMzwKZaP5IRgnBg,french,3.5,169
fjGTnLTvt64N8sk0_MZcGA,french,4.0,321
OINi1A9bSUUN5vi7xgi3ZQ,japanese,4.5,32
zDujEq9qZk13nBcG2PH4tA,french,4.5,235
Q8U5xfrSi35qRolA0UV2SA,korean,3.0,2
39g9pylx-xeIHihTe76HbA,italian,4.5,6
B0emo6VcMKdj5yYV7cSSsA,american,4.0,25
4NCvsUR3cKLaPgIZJK622w,chinese,4.0,9
h37t9rA06Sr4EetJjKrfzw,italian,4.5,94
etIbdlTKz2yLkvr9MWNPvw,japanese,3.5,293
PmnBdxDc11q8n7A80rj0FA,korean,2.0,15
pfmAcS-g6SiNG0KlLvrqnA,american,4.0,2818
6qzNc9Z9DHYYleKqrW_K3g,japanese,4.0,873
EPssbCqoPTIFzZf860lRFQ,chinese,2.5,16
zaYK-LuVRUoUVt6EV-xmPg,japanese,4.0,48
b-xpzu5nlhxw7qe745K9hw,japanese,3.0,29
glpQwpZpOrNpoWSIrPpgng,american,4.0,26
UrJkrJ5HsVGyLE2dogiUCA,italian,4.5,19
ZhbHXqkEYNKLAbamW5peJQ,american,4.0,422
k8GFfCXO2FIIJIo0ICYSRA,chinese,4.0,35
Rk6TXh7nINbzJoGtI2C5cA,indian,3.5,54
3XMYQTqA3ZUliZ1Lw-9Bmg,american,4.5,27
6EArjn_iacj-yGVLTKWuEQ,japanese,4.0,477
jKCSGAMyS0KIcS-vKpEuaA,indian,4.0,96
nV-LbnEV_2OwXvXRany1sg,american,4.5,7
IS94JDTcq_WedBcj6P4qpQ,japanese,4.0,65
gTAiQ5XyolMaFZ8t-ASqTQ,american,5.0,15
BChQT-pQTio5KD6B7082yA,korean,3.5,6
Bk7METp9hGgm409E6EoBhw,italian,5.0,22
tWSjcyxwBccZkEyhry_aEQ,japanese,3.5,80
do4L5yWrrGPPZqVRZDcO2w,chinese,4.0,5
6AC4yhUdnh64zE6b5-n6OQ,american,4.5,41
ZCAkVl5SeCDeBWg_xjfYeg,chinese,4.5,59
2IrDzLVFUFPp229c1x8YNw,chinese,4.0,128
EVaeiIE_p0m2LkeG6rhh2g,indian,5.0,1
vzDb6_Zkm4m8O7tNidojjA,italian,4.0,147
kHlYnhMOoMBbe3VCZflpKQ,chinese,4.0,44
Qgv2vyUV-DwK8YwrhU-jtw,chinese,3.5,55
iFAAI-7NoceHYVybom5SyA,chinese,3.5,52
kIm0oeOaVfC9-2flLPVklA,italian,4.0,375
NztBFASX-zzg0tROoLiKOg,indian,4.5,66
C7CFAdrczXxNhnN-MNJqmw,chinese,4.0,583
_nywvJGzmWJEH2FceAvRbQ,korean,4.0,119
_V7YsDQ4Lb41rqfkuPzm1w,italian,4.0,194
4oXj1ibfudrp4BkHcMjyrQ,indian,3.5,21
6J6u3doRNRrewj4_N_QgPA,japanese,3.5,111
K7u5sEQW1LcIJxjpUS1STg,indian,5.0,1
_17lSQzogvatMOhutxDvdw,french,4.0,155
L3PwWn54PvHm5Rd4oUg7xw,indian,4.0,55
ffJddI2ICrCz6q_QWrU5VQ,italian,4.5,51
xdioStDO8FAyQiZWHJiGZQ,indian,4.0,172
E2gIY7uWsmvpcUKItVOJoA,french,4.0,26
odSCzx-II2aPg9yhcVda7A,chinese,4.5,3
QaDOWy4-11982JWIxpImNQ,french,4.5,251
8FvdmDeaE74iYtslwNPITg,american,4.5,241
Knbn0h4MA1KX5Fv3eZfK4w,french,3.5,646
uq-jeUk2yNOrfUKdRIpE_w,italian,4.0,72
a5H9p1B6m6WPVjakPylvdA,japanese,3.5,491
6-ShONYFIM9K8HAUOhZVlw,italian,4.0,314
UuiW2A-O11Q0baqSEUMvZA,japanese,4.5,249
c1I-jzt3qwavgN3xgeSSTg,french,4.0,216
w6TG3n_XFKi9t8txdqF9sA,chinese,4.0,7
euLMYBekVEKt0CMGex5PaQ,american,4.5,12
EegEULbC3qoMA-FaEjivtA,italian,4.0,815
RgIFYmjtBp5k90AK1jP7Zw,chinese,3.5,24
_QxcsvPsYnOgPhiK6gzCfg,japanese,4.5,26
fuS39acPaRi38DhSSwEI4Q,french,4.0,251
QGvOaL14mWte55v71i3PIQ,korean,3.5,990
K8Z10Tx2rwx6CcHV8FcuJg,french,3.5,397
ahKL-52Ogn7iPFjhQbbb3w,indian,4.0,11
Z6te3r2X6EoB1HXF4XmctQ,french,4.5,200
wZkZmjZEJDraLJgAalnHvA,italian,4.0,689
b_J5KlnS5NPMpxM3CYjgLA,japanese,3.5,163
kHZblhTr7HEk-wQgmCscUQ,japanese,4.0,25
V4kZqDh4Gdu8pVfScb4RXQ,italian,4.0,64
v5CsUc6pr7foHWsoQ0Y36Q,chinese,3.5,70
5LSWzldMZLtahaMESfD25A,japanese,3.5,57
z28cRtpdfiJfzIp1vkMAwQ,korean,3.5,250
hXqrA_Z3jZ8Q1O6ZehWSwQ,indian,4.5,168
dBpttLTwkOT3HtFZ-u9vgQ,chinese,3.5,19
OcMreTrVG8BzeDqyYKdN8w,american,5.0,2
J8UMXWNYrn7_D0KXZN1Hrg,french,3.5,229
_U9PlIheyEyfAn7UUxABeg,indian,4.5,49
2N0rmZr3YVSa_sZYTJHxIA,american,4.5,5
CqvbXj6siqnBKaTjqNWwuw,chinese,3.5,5
bKXnm2k44mSdU0fP69lY-g,chinese,4.0,168
C2o3Iw-DXjoUJFgQIbiqkQ,french,4.0,637
XwB2qg5lN1oX2_ccyO515g,chinese,2.5,51
cp72DAW5Ndt9T625RNsMsg,french,4.0,37
iXrKGRzIZK0pp31mO3nBzA,indian,4.5,87
m-bEhZKBos1VZabVTg5CKg,french,3.5,521
CQ26J5DcKkh1C17JwWSoSw,french,4.0,213
PTYUAAJbEmvIv4EsyRrcnA,japanese,4.0,370
g_bi9LM2NcJd2SA5dFYFxg,japanese,3.0,56
nxTEuWKzkK1tCF4LrhFSUQ,korean,4.0,1208
A-ert0jDRBfku9ogyW_mEg,indian,4.5,171
GVF4kvXupD18afjpLiPLHA,italian,4.0,95
eVk4F9ixl89zyUHJ1G2Aiw,italian,4.0,983
zyG1GIU3KnIZ3bOVGgJXlA,chinese,3.5,90
rhEfNtVrckQj-Ns44OBHgA,chinese,3.5,182
ju6btoDb3UFhnmmPwrOWgA,indian,4.0,5
o7ebhiCJTSsp43ynRDB1qA,italian,3.5,228
w7p3TTQaTG3jFFYWHrNnUg,japanese,4.5,75
qCOhPeo_xAhK7LFavv77YA,japanese,4.0,44
zo4JHfD2nWPUiqgsgDOaHQ,italian,4.5,125
i66wTfSG50VEMvzJNYm8Sw,american,4.5,30
PwK_4LPh7yQ2VcIGKNKLNw,indian,3.0,12
BAKjtydOJj6KrsGCo-6DEQ,chinese,4.5,12
W5RSIwNKBa7k0jeAs5KDYg,japanese,4.0,530
AbNXFnI4OlWZvsQLGKf64w,italian,3.5,229
iJUoxnxbCtVDMek4keHJFQ,japanese,4.5,78
o98YOTMBCC2p_9nQyrdZKA,korean,3.5,18
IjmcxZDPeCgSE81n2qlKmg,chinese,3.0,9
iBPQRnM_TMQX6tYdjCbCXA,french,4.0,320
Rmm6fu7kejcnMoSlVLyl3w,french,4.0,40
lRaDAnKXieqbGnhqjDVhzg,japanese,3.5,99
_FICyzFLQxR7N62I6qU94A,japanese,4.5,21
FZpm4_fbd6P984foOUejWg,korean,4.0,1172
TPEkQX8Amp6Jb7FQmFKZxA,indian,3.5,109
OWALknbRruLyO8KFPATf_Q,chinese,4.0,23
o5mMVFk4Hcpk2FuKfgTgdg,italian,4.0,256
jnHbdsqlTKlPcmJ8BCP9-g,italian,4.0,259
XTLV-dDxS27AmY7I9Er68Q,american,3.5,303
SyvC0s3y0ZrtnLbwnvw7tw,chinese,3.5,1100
EenQI13Q50vdluUgfkMQmA,chinese,3.0,5
JfiQzDkzG3L3TLmRGUHMuA,japanese,4.0,57
oJZq1JmKalXXjqWRKfIjwA,japanese,4.0,388
wLzJbddDixAEZrF7VT6_hw,italian,4.5,213
mnD34K3pqM0oM7fLbaHDCQ,indian,3.5,107
yUOusjB6AVX4Qm_muXtl7g,korean,2.5,6
xscOfj1dMkEKvhrRruLpIg,indian,4.0,593
cHcKR-nHrfIJATmx4ON8Cw,american,4.5,16
XmycF9-fpEPlgMe8_qgJrQ,korean,3.5,183
pZOmV1O0panjcYKXoXgNYA,japanese,3.5,47
FoXPtrmgnbWf2RhUrzF4jA,indian,4.0,271
-krbXi1-XWrHoxz5_htSYQ,chinese,4.0,6
wqYHhMnpdfUVGL5JI3Wi_A,japanese,3.5,928
XDMtYVpUQag-uay9DHMm9A,french,4.0,49
CjahRm-rdwS8IqGR-M0Dyg,italian,3.5,92
Pb2HqSO0SP8HymbZM099hg,italian,3.5,83
SG99Hk4-PShkVP8eEBx4EA,chinese,2.0,5
8TpsdS7qXiKMo0ikPQUwHA,french,4.0,21
yuXmo3XGH_G-wY7g3gpeAg,chinese,3.5,36
Utp7letJ4wutRJ2zUdvOUw,japanese,3.5,117
BLYomPDQX5HkNWFJ2Lxfpg,chinese,3.0,88
IO9mQ3xkj8W3cv542rt0hg,french,3.5,127
350F7vZ8gWh3ojxEWbxA3Q,american,4.0,60
y_bDXn5PffeXZLXM4ZpvzQ,indian,4.5,12
7tJq-a_K-yKOWSqyXVOlFg,indian,4.5,80
wbsAWfyHnmkk5v7bAgV4sQ,korean,4.0,14
6Gra4M9dOXcjYzi611KwKg,japanese,3.5,92
gx7VP1RlABZsof0G8S4Ltg,italian,3.5,157
GCAQmtRdNhqVit5KGJ46Qg,american,4.0,413
9s2B7-yhDWYFk3uCGtc-GA,chinese,3.0,12
I1FoaHcmLe8CaDjGtKz2CQ,chinese,3.0,14
Ur9wsKwGEDG2nT8t3jv8Ag,american,4.0,102
hq09sqXaYiEogbTrrJ9X5g,italian,4.5,53
AlfkFxfD-cUBGA3Eq3j0Uw,indian,4.5,233
mahiUKFsLx1X-fg6mSGypw,korean,4.5,3
HjUwZOlok1TabhS4S1ya2w,chinese,4.5,76
xkYzEUPO6sR8bq5vWZSlpQ,chinese,3.0,25
hWkbadE0u-Eiqg9SAm176Q,chinese,3.0,44
ndyZ-kElszC2oxiGHAorCQ,indian,2.5,5
FdCQmAHzhbHuaP5lcsYs6w,japanese,4.0,34
dDXtga5Kgo5B1twdezcZJA,chinese,4.0,271
Z3enTc7bSisHj1blVEapHA,french,5.0,1
HvgrpROomwRg-pATqaV8oQ,japanese,3.5,413
dUxhYX4hfWa4wDfIFgii3g,korean,4.0,623
K1h1-dbZLgfC4vZSeJfDMw,japanese,4.0,36
UFRW4RurzgXnn3eeZXLjJQ,indian,3.5,3
VVlHJ6_sJbRAodV5lCzBnA,japanese,4.0,570
Gb79W0yuQfJvu0V0SDC0Ag,japanese,4.0,225
c1HgKFOT4Cc7TqWQD5mQBQ,chinese,4.5,44
ItocvsIyniVxMARBkHZaoA,indian,2.0,1
xJ25KJSMBPC1xi-qhrVF7A,american,4.0,30
2BJCPzGoWnOFgDbvoHi1Tw,french,4.0,203
1rjxNwYpg0orCcZi0ku9Nw,japanese,4.0,329
iPfHMcyE49cxJhoPL9KRzg,indian,3.5,8
tvpkgdOyFFRGwwu8zyR36g,japanese,4.0,69
0xS2Jj-RZuFQKgxEWuVxzA,italian,4.0,98
uPqLa_H1tr3QTwJNPoVqYQ,chinese,3.5,23
trkn76h8vQeB8kCUgHJyuw,indian,4.0,1
xrnk8mgoV7up6fauVmugpw,japanese,4.0,493
mlGfXoxc8cEss8Yms6VrXg,korean,4.0,2110
kNOr6_g6QfBHdhf89j3g5w,korean,4.0,289
HdHT_9doAtEO02YErevNCw,japanese,5.0,11
J6V8m1BuqXub2uZvoRX8pQ,american,4.5,23
15R8rx9SHKNVYBwgAuTyGA,japanese,4.0,94
yMl8P4RIUWeGDaKZu9iEzA,french,3.0,24
I32XfrAZXTwkEavbnb9viQ,italian,3.5,63
_MdNLeBAcwv5Nb2yArZFvg,chinese,3.5,62
UF9F0A4e7AJHzNPG5zrHUQ,american,4.5,135
G4qZvheX74VwYvek7I8iQg,japanese,4.5,80
3lVipbz3cKWrslZ2mTdzrQ,japanese,3.5,39
0Q3xCYWK2N-wJfXjLa9dFg,french,4.0,283
O8hZJ5OLb0Aj4uEozrUg8g,french,3.5,140
zklr5yuCpPx0k6qDQq9KAA,korean,3.5,2
aczqK-esIyqhyk7QLqcc1A,indian,3.5,218
DRitJoNGTkHXZvH_YpLIAw,american,4.0,819
AFisWoWm0pfxEi1dMYitKw,japanese,4.0,185
3OKf1QQnDhjkBKVg0eMllQ,japanese,4.5,108
fanlKZzN-fI9LywqQD6EHg,american,4.0,126
P8YbK6_2TnXHojrs0ycisg,japanese,3.5,1505
6NEkr-O-vdGjmZr-GpHtVg,american,4.0,8
emaMBqN_eWu71rgnQEnG3g,chinese,3.5,66
SbDFRevMMi_6o-6-mzWMxg,chinese,3.0,9
a0IET3_yCFcO36OqGSsisg,italian,4.0,4852
NEQUX6MJSG8yeFqDCApbAQ,japanese,3.5,76
c0wVqxD-_hvvS6d98t5pQw,french,5.0,1
vnf1WSV7dTmOeOkIJ46hiw,indian,3.0,35
JvV8sTgUX6abRQPzb3hLgg,indian,3.5,93
iPc-zPgcpgeSo76xl5Jbpw,korean,4.0,245
iFuHNNBLQkeQOn0KoXHhUA,italian,4.0,56
pL6cM2TPwvXqeGTrg7yN4Q,french,3.5,258
_Dt5ud0hdcIfDLmCg39BBw,japanese,3.0,50
U8Ljrx-w5otdMZNFhw5piw,italian,4.0,446
HICimyBWKDwrXLnBuDZOZw,chinese,4.5,7
AV9x0hUE0yQUMjUGQNPexQ,italian,4.5,107
igcUHNvsKc-s-RtvUmkg2w,korean,4.0,340
QZbyXgGz_PfAdAm6-IwpvA,french,3.0,43
JH2vhNxA2MNRtaL4a2B4tQ,korean,4.0,997
nBoOm-TAhRvbcDkHfKOwGg,indian,3.0,98
K_s7EXV9Ly5jlxyNZ39QDg,indian,4.0,14
bOHWY14f1u8rR1t2ggmbYw,french,4.0,369
2_1FxCMLvK46Vt81VlIS7A,french,4.5,53
gLyCmWWmqvg2SUG4DBgtWA,american,4.5,192
Bh1JBgQWZl9zct46uw_FzQ,italian,3.5,375
9v-JAffC6qw8Xp67BICByQ,chinese,3.5,389
7UJRw4Klt5yfE7q9vznEHA,indian,4.0,134
kQMXY2fshQFGdP8lwDMM6g,indian,4.0,147
jlH66jTIZUwX5MT1D-lhvg,indian,4.0,30
uJJGpuvwCComknuHj8AKbQ,korean,3.5,145
kWyz_wmazyLRWd3MqWlvqQ,american,4.0,661
RVKZSIN16FNL0ZXD6OUMrA,italian,4.0,162
UOaXJyVrr9l1XO7lGaT-bQ,indian,4.0,38
XvEz60Y0NbLxooK9AmRU8g,french,4.0,398
eoz2NahxyivVRs8Ll9Ljjg,french,4.0,184
pTWFuMYed409y99N0zY05Q,italian,3.5,74
32VbG_XgkZIuye0PV-BxaA,italian,4.0,393
iiwV70LVeKi9_ZTlCFhfZg,indian,2.5,5
DLnn2qw-KJAmazB-hMmSEw,french,4.5,57
DyflzWDsMKCXyFZibO-6fw,chinese,4.0,6
mYRdxAQaO_o-Fp5NdKskUQ,italian,3.5,137
kLJfizeHMQqesp1K9mfUtg,italian,4.0,455
uDWRGAtDW1z7lWpRCfuXAg,french,3.5,326
RPBQC0LGOI1FrXiGKn0jHw,chinese,3.5,60
GazJ5_JArwtAacygzxqDIQ,korean,3.0,5
kvFHJYo9rXuqgJkPIlHJeg,italian,4.0,38
mTWlEiCUEBlxBAkIikkB1A,french,4.0,1054
505bv6h3VnN6SekdHCr8Sw,italian,3.5,125
o21M4dKM4KQbzGVrlq_3Iw,indian,3.5,128
TB9jN3Fe-JHjyjYWmIQ_EA,indian,4.0,1
croh2zWlbPyCQTNS11klcg,chinese,4.0,50
4pNgTzw8Ru4bW7hXAeO6eA,french,3.5,87
NBgDoMiF4tj5aS7V7zayoA,italian,4.0,40
