RestaurantId,Cuisine,Rating,NumberOfReviews,Prediction,Score
PmnBdxDc11q8n7A80rj0FA,korean,2.0,15,0,4.907194E-1
pfmAcS-g6SiNG0KlLvrqnA,american,4.0,2818,1,8.666258E-1
6qzNc9Z9DHYYleKqrW_K3g,japanese,4.0,873,1,6.541159E-1
EPssbCqoPTIFzZf860lRFQ,chinese,2.5,16,0,3.318674E-1
zaYK-LuVRUoUVt6EV-xmPg,japanese,4.0,48,1,5.023544E-1
b-xpzu5nlhxw7qe745K9hw,japanese,3.0,29,0,2.151207E-3
glpQwpZpOrNpoWSIrPpgng,american,4.0,26,1,7.96363E-1
UrJkrJ5HsVGyLE2dogiUCA,italian,4.5,19,1,9.984046E-1
ZhbHXqkEYNKLAbamW5peJQ,american,4.0,422,1,9.221888E-1
k8GFfCXO2FIIJIo0ICYSRA,chinese,4.0,35,0,3.318674E-1
Rk6TXh7nINbzJoGtI2C5cA,indian,3.5,54,1,5.993214E-1
3XMYQTqA3ZUliZ1Lw-9Bmg,american,4.5,27,1,9.994104E-1
6EArjn_iacj-yGVLTKWuEQ,japanese,4.0,477,1,6.674774E-1
jKCSGAMyS0KIcS-vKpEuaA,indian,4.0,96,1,5.993214E-1
nV-LbnEV_2OwXvXRany1sg,american,4.5,7,1,9.994104E-1
IS94JDTcq_WedBcj6P4qpQ,japanese,4.0,65,1,5.023544E-1
gTAiQ5XyolMaFZ8t-ASqTQ,american,5.0,15,1,8.892435E-1
BChQT-pQTio5KD6B7082yA,korean,3.5,6,0,4.907194E-1
Bk7METp9hGgm409E6EoBhw,italian,5.0,22,1,7.477525E-1
tWSjcyxwBccZkEyhry_aEQ,japanese,3.5,80,1,5.023544E-1
do4L5yWrrGPPZqVRZDcO2w,chinese,4.0,5,0,3.318674E-1
6AC4yhUdnh64zE6b5-n6OQ,american,4.5,41,1,9.994104E-1
ZCAkVl5SeCDeBWg_xjfYeg,chinese,4.5,59,1,9.953763E-1
2IrDzLVFUFPp229c1x8YNw,chinese,4.0,128,0,2.8826E-1
EVaeiIE_p0m2LkeG6rhh2g,indian,5.0,1,1,7.54352E-1
vzDb6_Zkm4m8O7tNidojjA,italian,4.0,147,1,6.311236E-1
kHlYnhMOoMBbe3VCZflpKQ,chinese,4.0,44,0,3.318674E-1
Qgv2vyUV-DwK8YwrhU-jtw,chinese,3.5,55,0,3.318674E-1
iFAAI-7NoceHYVybom5SyA,chinese,3.5,52,0,3.318674E-1
kIm0oeOaVfC9-2flLPVklA,italian,4.0,375,1,7.460225E-1
NztBFASX-zzg0tROoLiKOg,indian,4.5,66,1,9.984598E-1
C7CFAdrczXxNhnN-MNJqmw,chinese,4.0,583,0,4.626803E-1
_nywvJGzmWJEH2FceAvRbQ,korean,4.0,119,1,5.660706E-1
_V7YsDQ4Lb41rqfkuPzm1w,italian,4.0,194,1,6.481676E-1
4oXj1ibfudrp4BkHcMjyrQ,indian,3.5,21,1,5.993214E-1
6J6u3doRNRrewj4_N_QgPA,japanese,3.5,111,1,5.774665E-1
K7u5sEQW1LcIJxjpUS1STg,indian,5.0,1,1,7.54352E-1
_17lSQzogvatMOhutxDvdw,french,4.0,155,1,6.270424E-1
L3PwWn54PvHm5Rd4oUg7xw,indian,4.0,55,1,5.993214E-1
ffJddI2ICrCz6q_QWrU5VQ,italian,4.5,51,1,9.984046E-1
xdioStDO8FAyQiZWHJiGZQ,indian,4.0,172,1,6.783955E-1
E2gIY7uWsmvpcUKItVOJoA,french,4.0,26,1,5.438321E-1
odSCzx-II2aPg9yhcVda7A,chinese,4.5,3,1,9.953763E-1
QaDOWy4-11982JWIxpImNQ,french,4.5,251,1,9.983375E-1
8FvdmDeaE74iYtslwNPITg,american,4.5,241,1,9.994926E-1
Knbn0h4MA1KX5Fv3eZfK4w,french,3.5,646,1,6.813631E-1
uq-jeUk2yNOrfUKdRIpE_w,italian,4.0,72,1,5.908161E-1
a5H9p1B6m6WPVjakPylvdA,japanese,3.5,491,1,6.49614E-1
6-ShONYFIM9K8HAUOhZVlw,italian,4.0,314,1,7.283967E-1
UuiW2A-O11Q0baqSEUMvZA,japanese,4.5,249,1,9.980372E-1
c1I-jzt3qwavgN3xgeSSTg,french,4.0,216,0,4.674654E-1
w6TG3n_XFKi9t8txdqF9sA,chinese,4.0,7,0,3.318674E-1
euLMYBekVEKt0CMGex5PaQ,american,4.5,12,1,9.994104E-1
EegEULbC3qoMA-FaEjivtA,italian,4.0,815,1,7.279394E-1
RgIFYmjtBp5k90AK1jP7Zw,chinese,3.5,24,0,3.318674E-1
_QxcsvPsYnOgPhiK6gzCfg,japanese,4.5,26,1,9.977196E-1
fuS39acPaRi38DhSSwEI4Q,french,4.0,251,1,5.808082E-1
QGvOaL14mWte55v71i3PIQ,korean,3.5,990,1,6.435112E-1
K8Z10Tx2rwx6CcHV8FcuJg,french,3.5,397,1,7.169969E-1
ahKL-52Ogn7iPFjhQbbb3w,indian,4.0,11,1,5.993214E-1
Z6te3r2X6EoB1HXF4XmctQ,french,4.5,200,1,9.984854E-1
wZkZmjZEJDraLJgAalnHvA,italian,4.0,689,1,7.214376E-1
b_J5KlnS5NPMpxM3CYjgLA,japanese,3.5,163,1,5.873903E-1
kHZblhTr7HEk-wQgmCscUQ,japanese,4.0,25,1,5.023544E-1
V4kZqDh4Gdu8pVfScb4RXQ,italian,4.0,64,1,5.908161E-1
v5CsUc6pr7foHWsoQ0Y36Q,chinese,3.5,70,0,3.318674E-1
5LSWzldMZLtahaMESfD25A,japanese,3.5,57,1,5.023544E-1
z28cRtpdfiJfzIp1vkMAwQ,korean,3.5,250,1,5.282663E-1
hXqrA_Z3jZ8Q1O6ZehWSwQ,indian,4.5,168,1,9.989074E-1
dBpttLTwkOT3HtFZ-u9vgQ,chinese,3.5,19,0,3.318674E-1
OcMreTrVG8BzeDqyYKdN8w,american,5.0,2,1,8.892435E-1
J8UMXWNYrn7_D0KXZN1Hrg,french,3.5,229,1,5.912793E-1
_U9PlIheyEyfAn7UUxABeg,indian,4.5,49,1,9.984598E-1
2N0rmZr3YVSa_sZYTJHxIA,american,4.5,5,1,9.994104E-1
CqvbXj6siqnBKaTjqNWwuw,chinese,3.5,5,0,3.318674E-1
bKXnm2k44mSdU0fP69lY-g,chinese,4.0,168,0,4.119326E-1
C2o3Iw-DXjoUJFgQIbiqkQ,french,4.0,637,1,6.794028E-1
XwB2qg5lN1oX2_ccyO515g,chinese,2.5,51,0,3.318674E-1
cp72DAW5Ndt9T625RNsMsg,french,4.0,37,1,5.438321E-1
iXrKGRzIZK0pp31mO3nBzA,indian,4.5,87,1,9.984598E-1
m-bEhZKBos1VZabVTg5CKg,french,3.5,521,1,6.974936E-1
CQ26J5DcKkh1C17JwWSoSw,french,4.0,213,0,4.674654E-1
PTYUAAJbEmvIv4EsyRrcnA,japanese,4.0,370,1,6.481941E-1
g_bi9LM2NcJd2SA5dFYFxg,japanese,3.0,56,0,2.151207E-3
nxTEuWKzkK1tCF4LrhFSUQ,korean,4.0,1208,0,4.855924E-1
A-ert0jDRBfku9ogyW_mEg,indian,4.5,171,1,9.989074E-1
GVF4kvXupD18afjpLiPLHA,italian,4.0,95,1,5.908161E-1
eVk4F9ixl89zyUHJ1G2Aiw,italian,4.0,983,1,7.300947E-1
zyG1GIU3KnIZ3bOVGgJXlA,chinese,3.5,90,0,3.318674E-1
rhEfNtVrckQj-Ns44OBHgA,chinese,3.5,182,0,4.119326E-1
ju6btoDb3UFhnmmPwrOWgA,indian,4.0,5,1,5.993214E-1
o7ebhiCJTSsp43ynRDB1qA,italian,3.5,228,1,6.366415E-1
w7p3TTQaTG3jFFYWHrNnUg,japanese,4.5,75,1,9.977196E-1
qCOhPeo_xAhK7LFavv77YA,japanese,4.0,44,1,5.023544E-1
zo4JHfD2nWPUiqgsgDOaHQ,italian,4.5,125,1,9.980441E-1
i66wTfSG50VEMvzJNYm8Sw,american,4.5,30,1,9.994104E-1
PwK_4LPh7yQ2VcIGKNKLNw,indian,3.0,12,0,3.184241E-3
BAKjtydOJj6KrsGCo-6DEQ,chinese,4.5,12,1,9.953763E-1
W5RSIwNKBa7k0jeAs5KDYg,japanese,4.0,530,1,6.612857E-1
AbNXFnI4OlWZvsQLGKf64w,italian,3.5,229,1,6.366415E-1
iJUoxnxbCtVDMek4keHJFQ,japanese,4.5,78,1,9.977196E-1
o98YOTMBCC2p_9nQyrdZKA,korean,3.5,18,0,4.907194E-1
IjmcxZDPeCgSE81n2qlKmg,chinese,3.0,9,0,1.059665E-3
iBPQRnM_TMQX6tYdjCbCXA,french,4.0,320,1,6.888917E-1
Rmm6fu7kejcnMoSlVLyl3w,french,4.0,40,1,5.438321E-1
lRaDAnKXieqbGnhqjDVhzg,japanese,3.5,99,1,5.023544E-1
_FICyzFLQxR7N62I6qU94A,japanese,4.5,21,1,9.977196E-1
FZpm4_fbd6P984foOUejWg,korean,4.0,1172,0,4.855924E-1
TPEkQX8Amp6Jb7FQmFKZxA,indian,3.5,109,1,6.694286E-1
OWALknbRruLyO8KFPATf_Q,chinese,4.0,23,0,3.318674E-1
o5mMVFk4Hcpk2FuKfgTgdg,italian,4.0,256,1,6.265987E-1
jnHbdsqlTKlPcmJ8BCP9-g,italian,4.0,259,1,6.265987E-1
XTLV-dDxS27AmY7I9Er68Q,american,3.5,303,1,8.389839E-1
SyvC0s3y0ZrtnLbwnvw7tw,chinese,3.5,1100,1,5.38946E-1
EenQI13Q50vdluUgfkMQmA,chinese,3.0,5,0,1.059665E-3
JfiQzDkzG3L3TLmRGUHMuA,japanese,4.0,57,1,5.023544E-1
oJZq1JmKalXXjqWRKfIjwA,japanese,4.0,388,1,6.820593E-1
wLzJbddDixAEZrF7VT6_hw,italian,4.5,213,1,9.978345E-1
mnD34K3pqM0oM7fLbaHDCQ,indian,3.5,107,1,5.993214E-1
yUOusjB6AVX4Qm_muXtl7g,korean,2.5,6,0,4.907194E-1
xscOfj1dMkEKvhrRruLpIg,indian,4.0,593,1,7.266888E-1
cHcKR-nHrfIJATmx4ON8Cw,american,4.5,16,1,9.994104E-1
XmycF9-fpEPlgMe8_qgJrQ,korean,3.5,183,1,5.760657E-1
pZOmV1O0panjcYKXoXgNYA,japanese,3.5,47,1,5.023544E-1
FoXPtrmgnbWf2RhUrzF4jA,indian,4.0,271,1,6.850058E-1
-krbXi1-XWrHoxz5_htSYQ,chinese,4.0,6,0,3.318674E-1
wqYHhMnpdfUVGL5JI3Wi_A,japanese,3.5,928,1,6.541159E-1
XDMtYVpUQag-uay9DHMm9A,french,4.0,49,1,5.438321E-1
CjahRm-rdwS8IqGR-M0Dyg,italian,3.5,92,1,5.908161E-1
Pb2HqSO0SP8HymbZM099hg,italian,3.5,83,1,5.908161E-1
SG99Hk4-PShkVP8eEBx4EA,chinese,2.0,5,0,3.318674E-1
8TpsdS7qXiKMo0ikPQUwHA,french,4.0,21,1,5.438321E-1
yuXmo3XGH_G-wY7g3gpeAg,chinese,3.5,36,0,3.318674E-1
Utp7letJ4wutRJ2zUdvOUw,japanese,3.5,117,1,5.774665E-1
BLYomPDQX5HkNWFJ2Lxfpg,chinese,3.0,88,0,1.059665E-3
IO9mQ3xkj8W3cv542rt0hg,french,3.5,127,0,4.929207E-1
350F7vZ8gWh3ojxEWbxA3Q,american,4.0,60,1,7.96363E-1
